"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","227","3.656","52.4","35.7","9.7","0.4","0.4",".","1.3",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","228","3.592","46.9","34.6","12.7","3.9","0.9","0.4","0.4",".",".",".",".",".",".",".",".","."
"Women in World History","134","001","45","3.419","31.1","40.0","15.6","4.4",".","4.4",".","2.2",".",".",".",".","2.2",".",".","."
"Women in Russn Lit in Trans","205","001","10","3.150","40.0","20.0","20.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Literature","250","001","17","3.412","64.7",".","23.5",".",".","11.8",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","001","40","3.949","87.5","10.0",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","310","003","30","3.500","36.7","33.3","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & the","","Course Total","70","3.754","65.7","20.0","11.4",".","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Topics-Gender, Women & Society","320","001","37","3.257","13.5","70.3","2.7","2.7","5.4",".","5.4",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","33","3.424","33.3","27.3","33.3","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","31","3.629","35.5","54.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","37","3.417","24.3","51.4","16.2","2.7",".",".","2.7",".",".",".",".",".","2.7",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","64","3.664","50.0","32.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Carmen Miranda","460","001","16","3.767","68.8","6.3","18.8",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Women and Politics","469","001","23","3.500","30.4","56.5","4.3",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","40","3.825","85.0","10.0","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","50","3.620","54.0","34.0","6.0","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","25","3.979","92.0","4.0",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Internship-Gender&Women's Std","660","001","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Spec Topics-Gender&Wmn Studies","720","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Feminist Theory & Criticism","737","001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","790","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","","Course Total","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"Independent Research","799","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Women's/Gender Studies","900","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Smnr:Topic-Gen & Women Studies","950","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
