"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
"948
Otolaryngology Clerk-CSC","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949
Clin Otolaryng Clerk-LaCros","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954
Periph Vasculr Clrk-CSC/VAH","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"956","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plastc&RecnstrSurgClerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"961
Burn Surgery Clrkshp (CSC)","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Surgery-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
