"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"646
Cancer Genetics Risk Assess","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","296","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","46","3.972","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Practicum-Genetic Counselng","005","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Contemp Pro Iss-Gen Cnslng","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Embryology & Prenatal Genetics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Smr: Med Genetic Counsel Rsrch","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","061","","26","3.558","46.2","19.2","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","23","3.659","56.5","13.0","26.1",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"3rd Year Pediatrics","Course Total","","72","3.563","45.8","22.2","27.8","2.8",".",".",".",".",".",".",".",".","1.4",".",".","."
"814
Adv Pract-Genetic Counselng","005","","6","3.821","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"938","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"938","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2017","","","","","","","","","","","","","","","","","","","Page 378 of 422",""
