"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Gender, Women & Cultural Rep","101","001","99","3.597","39.4","41.4","16.2","2.0",".",".",".",".",".",".",".",".",".",".","1.0","."
"Gender, Women & Society-Global","102","001","104","3.288","29.8","28.8","23.1","13.5","2.9",".","1.9",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","262","3.680","61.1","22.5","10.3","3.8","1.1","0.8",".",".",".",".",".",".","0.4",".",".","."
"Gender & Work-Rural America","215","001","35","2.743","17.1","17.1","22.9","5.7","28.6","5.7","2.9",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","17","3.382","23.5","41.2","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","310","001","31","3.621","48.4","35.5","9.7",".",".","3.2",".","3.2",".",".",".",".",".",".",".","."
"","310","003","18","3.656","55.6","27.8",".",".",".","5.6",".","5.6",".",".",".",".","5.6",".",".","."
"Gender, Women & the","","Course Total","49","3.633","51.0","32.7","6.1",".",".","4.1",".","4.1",".",".",".",".","2.0",".",".","."
"Gender, Race and Colonialism","315","001","33","3.621","48.5","30.3","18.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","320","001","34","3.735","64.7","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","34","3.353","38.2","17.6","32.4","5.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","32","3.547","31.3","53.1","9.4","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Latinas: Self Ident&Social Chg","332","001","9","3.056","22.2","33.3","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","38","3.750","55.3","34.2","2.6","2.6",".",".",".","2.6",".",".",".",".",".",".","2.6","."
"Women&Gender in US Since 1870","354","001","36","3.327","19.4","36.1","33.3","8.3","2.8",".",".",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","34","3.382","35.3","29.4","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","41","3.585","41.5","46.3","7.3","2.4",".","2.4",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","35","3.571","45.7","34.3","8.6","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","16","2.875","31.3","31.3",".","18.8",".","6.3","12.5",".",".",".",".",".",".",".",".","."
"The Body in Theory","445","001","41","3.500","29.3","46.3","17.1","2.4","2.4",".",".",".",".",".",".",".",".",".","2.4","."
"Feminism & Sociologicl Thry","477","001","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality,Modernity&Soc Change","519","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","29","3.304","37.9","27.6","10.3","3.4","13.8","3.4",".",".",".",".",".",".","3.4",".",".","."
"Gender and Education","560","001","13","3.667","46.2","30.8","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Asian Amer Women Writers","595","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies","720","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Study-Gen & Women's Study","880","001","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Feminist Political Theory","933","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smnr:Topic-Gen & Women Studies","950","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","999","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
