"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"957","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"957","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clrk-Meriter","Course Total","","2","***","","","","","","","","","","","","","","","",""
"958","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Medicine-Green Bay","Course Total","","2","***","","","","","","","","","","","","","","","",""
"960","041","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","042","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","043","","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"960","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clerkshp-CSC","Course Total","","26","3.600","26.9","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"962","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Endocrinology Clerkship-CSC","Course Total","","8","3.722","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"965","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastroenterology Clerk-CSC","Course Total","","8","3.750","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"970","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"970","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastro/Hepatology-Milwaukee","Course Total","","2","***","","","","","","","","","","","","","","","",""
"971","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"971","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"971","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"971","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerkshp-CSC","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"973
Infectious Disease-Marshfld","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"976","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"976","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"976","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 355 of 410",""
