"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","242","2.891","16.1","8.3","41.3","14.9","14.0","2.9","1.2","0.4",".",".",".",".","0.4","0.4",".","."
"","365","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Property Risk Management","610","001","62","3.226","37.1","8.1","32.3","11.3","9.7","1.6",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615","001","35","3.429","34.3","22.9","37.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","94","3.133","22.3","20.2","41.5","8.5","2.1","3.2","2.1",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","25","3.521","28.0","52.0","12.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Risk Management","710","030","47","3.479","34.0","27.7","38.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
