"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Directed Study","Course Total","17","4.000","23.5",".",".",".",".",".",".",".",".",".",".",".","5.9",".","70.6","."
"Integrated Cardiovascular Sys","706
001","172","3.376","24.4","28.5","43.0","2.9",".",".",".",".",".",".",".",".",".",".","1.2","."
"Integrated Renal System","709
001","170","3.362","33.5","22.4","31.2","11.2","1.2",".","0.6",".",".",".",".",".",".",".",".","."
"Integrated Respiratory System","715
001","169","3.408","32.0","18.9","47.9","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Dermatology","724
001","170","3.338","31.8","22.4","35.3","7.6","1.8",".","1.2",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Foundations of Medicine 1","751
001","167","3.521","38.9","31.1","24.6","4.2","0.6",".",".",".",".",".",".",".",".",".","0.6","."
"Foundations of Medicine 2","755
001","165","3.400","33.9","23.6","31.5","10.3","0.6",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Patient, Doctor & Society 1","800
001","176","",".",".",".",".",".",".",".","99.4",".",".",".",".",".",".","0.6","."
"Patient, Doctor & Society 3","806
001","168","3.821","72.0","20.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1399","3.468","32.4","20.2","26.7","4.5","0.5",".","0.2","12.5",".","1.8",".",".","0.1",".","1.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Junior","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior","","5","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 1","","185","",".",".",".",".",".",".",".","91.4",".","7.6",".",".",".",".","1.1","."
"Prof Yr 2","","1204","3.467","37.5","23.4","31.1","5.2","0.6",".","0.2","0.4",".","0.3",".",".","0.1",".","1.1","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".",".",".",".",".","33.3",".",".",".",".","33.3","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1393","3.468","32.5","20.2","26.8","4.5","0.5",".","0.2","12.6",".","1.4",".",".","0.1",".","1.1","."
"","Dept. Total","1399","3.468","32.4","20.2","26.7","4.5","0.5",".","0.2","12.5",".","1.8",".",".","0.1",".","1.1","."
