"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","113","2.876","16.8","8.8","35.4","15.9","20.4","2.7",".",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425
001","132","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","470
001","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525
033","131","3.877","76.3","21.4","1.5",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Fluid & Electrolyte Therapy","550
001","93","3.538","38.7","33.3","24.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","134","3.474","35.8","34.3","20.1","8.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","130","2.965","12.3","21.5","28.5","25.4","11.5",".","0.8",".",".",".",".",".",".",".",".","."
"","664
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","3","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","35","3.948","91.4","5.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","6","4.000","33.3",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","."
"","699
088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","18","4.000","61.1",".",".",".",".",".",".",".",".",".",".",".","38.9",".",".","."
"","740
003","28","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
004","26","3.808","73.1","15.4","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
103","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","55","3.796","67.3","21.8","9.1",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"","741
003","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","45","3.967","95.6","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
003","74","3.811","70.3","21.6","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","76","3.793","69.7","19.7","6.6","2.6",".",".",".",".",".",".",".",".","1.3",".",".","."
"","760
104","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
114","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","155","3.803","69.0","20.0","7.1","1.3",".",".",".",".",".",".",".",".","2.6",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","999
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
