"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","",""
"966","043","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"966","045","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"967","041","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"967","043","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Pulmonary Clrk-CSC","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"990
Research","070","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","127","3.603","51.2","30.7","15.7",".","",".","",".","",".","1.6","",".",".",".",".",".",".","0.8","."
