"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","186","3.368","37.1","23.1","26.3","7.0","3.8","1.6","0.5","0.5",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","132","3.164","31.1","18.9","22.0","9.1","16.7","1.5",".",".",".",".",".",".","0.8",".",".","."
"432
Pharmaceutical Biochemistry","001","","131","3.209","34.4","6.1","39.7","6.1","10.7","1.5",".","0.8",".",".",".",".","0.8",".",".","."
"493
Selected Topics-Pharm Sci","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","001","","142","3.301","38.0","14.8","28.9","7.0","9.2","1.4",".",".",".",".",".",".","0.7",".",".","."
"521","002","","6","2.833","16.7","33.3","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","Course Total","","148","3.282","37.2","15.5","28.4","6.8","9.5","2.0",".",".",".",".",".",".","0.7",".",".","."
"531
Medicinal Chemistry I","001","","133","3.297","34.6","14.3","36.1","6.0","9.0",".",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","129","3.101","10.9","21.7","48.1","15.5","3.9",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","131","3.347","28.2","23.7","40.5","4.6","3.1",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","22","3.364","9.1","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","002","","126","3.901","83.3","13.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","14","3.429","35.7","14.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","116","3.224","14.7","40.5","25.0","14.7","5.2",".",".",".",".",".",".",".",".",".",".","."
"645
Phmceut","001","","133","3.587","52.6","21.1","19.5","5.3","1.5",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"768
Pharmacokinetics","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Research Ethics","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Pharmaceutical Sci Seminar","001","","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 396 of 410",""
