"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.958","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","21","3.425","14.3","52.4","28.6",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"812","062","","18","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","21","3.381","14.3","47.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","60","3.381","10.0","55.0","33.3",".",".",".",".",".",".",".",".",".",".",".","1.7","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"950","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953
Clin Genetics Clerk-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"965
Pediatric Neurol Clerk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
