"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","28","3.907","85.7","7.1",".","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"Prof Skills I: Prof Prac in OT","610
001","24","3.521","33.3","37.5","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills III: Org & Mgmt-OT","612
001","23","3.674","34.8","65.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Occupational-based Thry & Prac","620
001","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Occupationl Participatn","621
001","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yng Adult Occs&Ther Interventn","623
001","23","3.565","30.4","56.5","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Adoles&Yng Adlt","626
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Level II Fieldwork B","664
001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci Inq-OT I: Evidence-Based","671
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inq-OT III: Data Coll&Anal","673
001","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","259","3.765","55.6","23.2","3.5","0.8",".",".",".",".",".","16.6",".",".","0.4",".",".","."
