"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","158","2.791","22.2","2.5","33.5","1.3","37.3","3.2",".",".",".",".",".",".",".",".",".","."
"","002
100","179","2.792","21.2","4.5","36.3","2.2","29.6","3.4","2.2",".",".",".",".",".","0.6",".",".","."
"General Anthropology","Course Total","337","2.792","21.7","3.6","35.0","1.8","33.2","3.3","1.2",".",".",".",".",".","0.3",".",".","."
"Archaeology & Prehist World","102
001","112","2.790","17.9","10.7","25.9","13.4","27.7","3.6","0.9",".",".",".",".",".",".",".",".","."
"","104
001","341","3.204","20.5","29.9","31.7","8.5","7.9","0.6","0.6","0.3",".",".",".",".",".",".",".","."
"","002
104","437","3.201","20.6","27.5","35.5","8.2","7.1","0.5","0.7",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","778","3.203","20.6","28.5","33.8","8.4","7.5","0.5","0.6","0.1",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","105
001","235","3.579","64.7","12.3","9.4","5.5","5.1","0.9","1.3","0.9",".",".",".",".",".",".",".","."
"Principles of Archaeology","112
001","105","2.716","16.2","12.4","18.1","11.4","38.1","1.9","1.0","1.0",".",".",".",".",".",".",".","."
"","120
001","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
002","19","3.676","52.6","15.8","21.1",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Fr/Soph Seminar in Anthro","Course Total","34","3.781","67.6","11.8","14.7",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Africa: Introductory Survey","277
001","28","3.107","28.6","7.1","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","45","3.233","15.6","33.3","44.4","4.4",".",".","2.2",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","13","3.500","46.2","30.8",".","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","12","2.833","16.7",".","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309
001","37","2.943","29.7","5.4","21.6","5.4","29.7","2.7",".","5.4",".",".",".",".",".",".",".","."
"","310
001","13","3.154","61.5",".","7.7",".","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"","310
002","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","22","3.341","54.5","13.6","13.6",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Indians of North America","314
001","63","2.712","14.3","14.3","17.5","17.5","22.2","6.3","1.6","6.3",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","80","2.462","15.0","10.0","23.8","10.0","16.3","16.3","6.3","1.3",".",".",".",".",".",".","1.3","."
"Peoples of the Andes Today","327
001","17","2.765","17.6","23.5","23.5","11.8","11.8",".","11.8",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","330
001","31","3.519","51.6","19.4","19.4",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354
001","52","3.541","51.9","17.3","17.3","3.8","1.9",".","1.9","1.9",".",".",".",".","1.9","1.9",".","."
"Elementary Quechua","361
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Course in Archaeology","370
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","410
001","10","3.167","30.0","10.0","30.0",".","20.0",".",".",".",".",".",".",".","10.0",".",".","."
"","410
002","45","2.889","26.7","8.9","24.4","8.9","26.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","Course Total","55","2.935","27.3","9.1","25.5","7.3","25.5","1.8","1.8",".",".",".",".",".","1.8",".",".","."
"American Indian Women","437
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of Law","448
001","25","3.200","36.0","24.0","16.0","8.0","8.0","8.0",".",".",".",".",".",".",".",".",".","."
"Ethnobotany","474
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
001","18","3.778","77.8","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","490
002","13","3.462","53.8","7.7","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","31","3.645","67.7","9.7","9.7","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","11","3.550","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Smr-Evolutionary Theory","603
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthro-Shamanism&Occult Exper","666
001","19","3.944","84.2","10.5",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 160 of 410",""
