"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","159","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","174","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","130","3.915","85.4","12.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","152","3.905","83.6","13.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","130","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","219
002","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","151","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","301
001","130","3.850","71.5","26.9","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","21","3.619","28.6","66.7","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","151","3.818","65.6","32.5","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","59","3.941","88.1","11.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","116","3.664","47.4","38.8","12.9","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","140","3.721","56.4","32.1","10.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","68","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","136","3.570","30.1","55.1","13.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","24","3.521","16.7","70.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","160","3.563","28.1","57.5","13.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","133","3.837","69.2","27.8","2.3",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"","433
002","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","157","3.840","69.4","28.0","1.9",".",".",".",".","0.6",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","67","3.836","76.1","14.9","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
020","22","3.614","59.1","13.6","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","590
060","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","34","3.723","73.5","8.8","14.7",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
011","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
023","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","614
060","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 391 of 410",""
