"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110","001","","135","3.567","57.8","12.6","22.2","4.4","1.5","0.7","0.7",".",".",".",".",".",".",".",".","."
"110","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Communicative Dis","Course Total","","139","3.565","57.6","12.9","21.6","5.0","1.4","0.7","0.7",".",".",".",".",".",".",".",".","."
"201
Speech Science","001","","91","2.824","15.4","20.9","24.2","14.3","16.5","6.6","2.2",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","112","3.550","66.1","10.7","5.4","7.1","6.3","3.6",".","0.9",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","172","3.608","61.6","14.5","15.1","4.7","2.3","1.7",".",".",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","90","3.939","87.8","12.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","93","3.823","67.7","29.0","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","51","3.814","68.6","25.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","37","3.514","51.4","18.9","16.2","8.1","5.4",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","87","3.759","69.0","17.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"455
Topics in Com Dis","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","66","3.545","42.4","36.4","9.1","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","20","3.973","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Introduction to Graduate Study","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","26","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Schl Mthd,Procedr:Sp/Lang Path","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","14","3.909","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"790","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","48","3.961","91.7","6.3",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
