"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501
001","","80","3.781","65.0","27.5","6.3","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630
001","","74","3.284","20.3","24.3","48.6","5.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","74","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","74","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","","74","3.453","24.3","45.9","25.7","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","33","4.000","6.1",".",".",".",".",".",".","93.9",".",".",".",".",".",".",".","."
"","642
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","34","4.000","8.8",".",".",".",".",".",".","91.2",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","11","4.000","18.2",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","."
"","645
001","","35","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","645
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","36","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","23","4.000","52.2",".",".",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","30","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"","675
001","","15","4.000","26.7",".",".",".",".",".",".","73.3",".",".",".",".",".",".",".","."
"","675
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","42","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","50.0",".",".",".",".",".",".","37.5",".",".",".",".","12.5",".",".","."
"Clinical Ophthalm Rotation","741
001","","22","4.000","31.8",".",".",".",".",".",".","63.6",".",".",".",".",".",".","4.5","."
"Adv Anesthlgy/Crit Care Med","743
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","775
001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".","12.5","."
"","775
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","23","",".",".",".",".",".",".",".","87.0",".",".",".",".",".",".","13.0","."
"Rsch Ethics&Career Development","812
001","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
