"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine I","601
001","","37","3.459","18.9","56.8","21.6","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","610
001","","28","3.839","67.9","32.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Prevnt & Commnty Prac I","Course Total","","37","3.851","70.3","29.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617
002","","6","",".",".",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7","."
"Professional Seminar II","Course Total","","34","",".",".",".",".",".",".",".",".",".","97.1",".",".",".",".","2.9","."
"Advanced Patient Evaluation I","620
001","","34","3.621","35.3","50.0","11.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","630
001","","28","3.304","10.7","50.0","32.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Hlth-Physician Asstnts","Course Total","","34","3.397","20.6","47.1","26.5","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","28","3.446","21.4","57.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology I","Course Total","","37","3.432","21.6","54.1","13.5","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","28","3.482","25.0","50.0","21.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods I","Course Total","","37","3.459","21.6","51.4","24.3","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Smnr & Capstone I","717
001","","26","",".",".",".",".",".",".",".",".",".","92.3",".",".",".",".","7.7","."
"","729
001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","729
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","Course Total","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","739
001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","739
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","Course Total","","19","3.816","73.7","21.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","749
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","749
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","Course Total","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","759
001","","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","759
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phys Asst Precptrshp: Emrg Med","Course Total","","17","3.750","64.7","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","5.9","."
"Phy Asst Preceptorship:Electve","769
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","","349","3.658","33.8","34.4","10.9","2.6","0.3",".",".",".",".","16.3",".",".","0.3",".","1.4","."
