"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","286","3.020","16.8","15.4","41.6","12.2","9.4","1.4","1.4",".",".",".",".",".","1.7",".",".","."
"","125
001","22","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
125","261","3.069","21.5","23.8","25.3","16.9","8.0","3.8","0.8",".",".",".",".",".",".",".",".","."
"","125
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","284","3.113","25.4","23.2","24.3","15.5","7.4","3.5","0.7",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","96","2.858","13.5","17.7","29.2","18.8","15.6","1.0","3.1",".",".",".",".",".","1.0",".",".","."
"Am Racial&Ethnic Minorities","134
001","447","3.050","20.4","19.2","27.5","19.0","12.3","1.6",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","78","2.872","15.4","12.8","29.5","20.5","19.2","2.6",".",".",".",".",".",".",".",".",".","."
"Population Problems","170
001","56","3.318","33.9","32.1","12.5","8.9","7.1","3.6",".","1.8",".",".",".",".",".",".",".","."
"Directed Study","198
016","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
016","73","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
066","16","3.600","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","89","3.958","96.6","1.1",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","90","3.034","16.7","20.0","34.4","17.8","6.7","2.2","1.1",".",".",".",".",".",".",".",".","1.1"
"The Sociological Enterprise","211
001","78","3.266","21.8","38.5","25.6","6.4","2.6","2.6","1.3",".",".",".",".",".",".",".",".","1.3"
"Gender & Work-Rural America","215
001","35","2.743","8.6","17.1","31.4","17.1","20.0","2.9","2.9",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","95","3.432","38.9","32.6","20.0","3.2",".","5.3",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","69","2.709","14.5","17.4","15.9","23.2","20.3","5.8","2.9",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","26","3.208","23.1","26.9","23.1","11.5","3.8","3.8",".",".",".",".",".",".","3.8","3.8",".","."
"Africa: Introductory Survey","277
001","26","3.167","23.1","19.2","23.1","19.2","7.7",".",".",".",".",".",".",".",".","3.8",".","3.8"
"","357
002","17","3.529","41.2","35.3","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","19","3.105","26.3","21.1","31.6","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","357
004","16","3.469","31.3","43.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","357
005","17","2.941","11.8","35.3","23.5","11.8","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","357
006","17","2.882","29.4","23.5","17.6",".","17.6",".","11.8",".",".",".",".",".",".",".",".","."
"","007
357","16","3.313","31.3","31.3","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","357
008","16","2.406","6.3","31.3","6.3",".","37.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"","357
011","17","3.441","29.4","29.4","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","135","3.137","25.9","31.1","21.5","5.2","11.1","1.5","3.7",".",".",".",".",".",".",".",".","."
"","360
001","30","3.155","20.0","30.0","13.3","26.7","6.7",".",".",".",".",".",".",".","3.3",".",".","."
"","360
002","34","2.765","5.9","20.6","29.4","20.6","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"","360
003","32","3.188","25.0","21.9","40.6","3.1","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","96","3.026","16.7","24.0","28.1","16.7","9.4","4.2",".",".",".",".",".",".","1.0",".",".","."
"Stats for Sociologists II","361
001","13","3.577","69.2","15.4",".","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","28","3.327","21.4","21.4","46.4","3.6",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Computing-Sociologcl Resrch","365
002","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","10","3.350","60.0","10.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","95","3.154","17.9","23.2","42.1","7.4","7.4",".","1.1",".",".",".",".",".",".",".",".","1.1"
"","475
002","36","3.069","19.4","38.9","11.1","8.3","19.4",".","2.8",".",".",".",".",".",".",".",".","."
