"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","041","","15","3.467","13.3","66.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","12","3.250","8.3","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","15","3.367","13.3","60.0","20.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"812","044","","15","3.464","6.7","73.3","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"812","045","","11","3.500","18.2","63.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","13","3.458","7.7","69.2","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Third Year Psychiatry","Course Total","","81","3.418","11.1","64.2","18.5","2.5","1.2",".",".",".",".",".",".",".",".",".","2.5","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"946","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
