"COLLABORATIVE NURSING PRG Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","",""
"306
001
Narrative Anal-Nursing Prac","","13","3.731","46.2","53.8",".",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"317
003
Health Assessment","","9","3.833","66.7","33.3",".",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"341
003
Theoretical Foundations","","12","3.792","75.0","16.7",".","8.3",".","",".","",".",".","",".","",".",".","",".","",".",".",".","."
"434
003
Nursing Research","","4","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"437
003
Mgmt & Leadershp in Nursing","","13","3.808","69.2","23.1","7.7",".","",".",".","",".",".","",".","",".",".","",".","",".",".",".","."
"444
003
Community Health Nursing","","5","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"490
020","","15","3.300","26.7","53.3","6.7","6.7","",".",".","","6.7",".","",".","",".",".","",".","",".",".",".","."
"490
022","","11","3.409","45.5","45.5",".",".","",".",".","","9.1",".","",".","",".",".","",".","",".",".",".","."
"490
023","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"490
028","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"490
030","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Special Topics in Nursing","","31","3.452","45.2","41.9","3.2","3.2","",".","",".","6.5","",".","",".",".","",".","",".",".",".",".","."
"519
001
Capstone Practicum for RN's","","11","3.700","54.5","18.2","18.2",".","",".",".","",".",".","",".","",".",".","",".","","9.1",".",".","."
"CNP
Dept. Total
691","","98","3.693","58.2","32.7","4.1","2.0","",".","",".","2.0","",".","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","19","3.358","52.6","26.3","10.5",".","",".","",".","10.5","",".","",".",".","",".","",".",".",".",".","."
"Senior","","78","3.769","60.3","33.3","2.6","2.6","",".","",".",".","",".","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","","98","3.693","58.2","32.7","4.1","2.0","",".","",".","2.0","",".","",".",".","",".","",".","1.0",".",".","."
"Dept. Total","","98","3.693","58.2","32.7","4.1","2.0","",".","",".","2.0","",".","",".",".","",".","",".","1.0",".",".","."
