"","922
002","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","922
041","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rsch in Human Cancer Bio","990
022","","1","***","","","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"H ONCOL
480","Dept. Total","","11","4.000","81.8","",".","",".",".","",".","",".","",".","",".","",".",".","",".","9.1","",".",".","9.1","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","3","4.000","66.7","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","33.3","."
"Undergraduates","","","6","4.000","83.3","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","16.7","."
"Graduate","","","1","",".","",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","",".",".",".","."
"Prof Yr 3","","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","4","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","11","4.000","81.8","",".","",".",".","",".","",".","",".","",".","",".",".","",".","9.1","",".",".","9.1","."
