"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"210
HIV: Sex, Society and Science","001","","59","3.483","57.6","6.8","23.7","5.1","5.1",".","1.7",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"653
Method Validation Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"654
Method Validation Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"655
Quality Control Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","13","3.750","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.779","50.0","38.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"751
Cell & Molec Biol of Aging","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","39","",".",".",".",".",".",".",".",".",".","94.9",".",".",".",".","5.1","."
"901","002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","45","",".",".",".",".",".",".",".",".",".","95.6",".",".",".",".","4.4","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","8","3.824","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
