"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"502
Air Pollution&Human Health","001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Intro to Biostats for Pop Hlth","001","","19","3.618","31.6","47.4","10.5",".",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"553
Internl Hlth & Global Society","001","","23","3.587","30.4","56.5","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"640","001","","18","3.824","77.8",".","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"640","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","Course Total","","29","3.893","86.2",".","10.3",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"650","002","","22","3.900","81.8","4.5",".","4.5",".",".",".","9.1",".",".",".",".",".",".",".","."
"650","035","","10","3.862","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","049","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","065","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","84","3.833","79.8","11.9","4.8","1.2",".",".",".","2.4",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"717
Prin-Population Med&Epidemiol","001","","174","",".",".",".",".",".",".",".","98.9",".",".",".",".","0.6",".","0.6","."
"718
International Health Systems","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Public Hlth: Principles&Pract","001","","48","3.793","56.3","39.6",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"781","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"781","002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"781","003","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"781","004","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Public Health Seminar","Course Total","","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"787
MPH Field Experience Seminar","002","","9","3.786","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"788
Public Health Field Experience","001","","20","4.000","60.0",".",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"794
Biol Basis-Population Health","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","24","3.913","79.2","16.7",".",".",".",".",".",".","4.2",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","73","3.788","67.1","31.5",".",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
