"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Society&Health Care-Am Hist","504","001","","18","3.559","50.0","11.1","27.8","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"Enivr&Hlth-Global Perspective","513","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Technology & the Body","526","001","","27","3.056","25.9","14.8","33.3","11.1","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drs & Delusions: Madness & Med","543","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545","002","","28","3.096","25.0","10.7","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"Internl Hlth & Global Society","553","001","","23","3.478","21.7","60.9","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559","001","","25","3.563","64.0","20.0","4.0",".",".","4.0","4.0",".",".",".",".",".","4.0",".",".","."
"Greek & Roman Med & Phcy","561","001","","6","3.167","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Technology & the Body","726","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Int'l Health & Global Society","753","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","153","3.418","41.8","21.6","19.0","7.2","5.2","0.7","1.3","0.7",".",".",".",".","1.3",".","1.3","."
