"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"625
Vet Diag&Therapeut Techniq","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"632
Companion Animal&Equine Med I","001","","74","3.453","28.4","40.5","27.0","1.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","74","2.946","2.7","17.6","58.1","9.5","12.2",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","23","4.000","39.1",".",".",".",".",".",".","47.8",".",".",".",".",".",".","13.0","."
"669
Small Anml Cardiolgy Rotatn","001","","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"670","001","","36","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"670","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","38","4.000","10.5",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","43","4.000","18.6",".",".",".",".",".",".","65.1",".",".",".",".",".",".","16.3","."
"675","002","","27","4.000","70.4",".",".",".",".",".",".","29.6",".",".",".",".",".",".",".","."
"675","003","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"675","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","010","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","121","4.000","50.4",".",".",".",".",".",".","49.6",".",".",".",".",".",".",".","."
"678","001","","39","4.000","41.0",".",".",".",".",".",".","59.0",".",".",".",".",".",".",".","."
"678","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","40","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.886","69.2","15.4",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"701
Production Medicine I","001","","15","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","18","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"775","001","","31","",".",".",".",".",".",".",".","96.8",".",".",".",".",".",".","3.2","."
"775","002","","19","",".",".",".",".",".",".",".","84.2",".",".",".",".",".",".","15.8","."
"775","003","","12","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"775","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
