"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","475
003","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","475
005","62","3.516","35.5","43.5","17.7","1.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","106","3.349","29.2","41.5","15.1","5.7","6.6",".","1.9",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","496
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
007","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
008","11","3.273","54.5",".","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","496
009","14","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","496
010","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","73","3.666","67.1","13.7","13.7","1.4","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530
002","30","2.850","10.0","23.3","20.0","26.7","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"","532
001","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532
002","7","3.286","42.9",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","31","3.613","51.6","25.8","19.4",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","19","3.000","21.1","15.8","26.3","15.8","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541
001","36","3.265","36.1","25.0","8.3","13.9","8.3",".","2.8",".",".",".",".",".",".",".","2.8","2.8"
"Community Organization&Change","573
001","11","3.409","63.6","9.1","9.1",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575
001","24","3.304","41.7","16.7","29.2",".",".","4.2","4.2",".",".",".",".",".",".","4.2",".","."
"Community Development","617
001","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621
001","22","3.688","40.9","18.2","13.6",".",".",".",".","9.1",".",".",".",".","18.2",".",".","."
"Gender, Society & Politics","623
001","17","3.235","35.3","35.3","5.9","11.8",".","11.8",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624
001","18","3.056","33.3","16.7","22.2","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632
001","19","2.917","21.1","26.3","21.1","10.5","5.3",".","10.5",".",".",".",".",".","5.3",".",".","."
"Sociology of the Family","640
001","34","3.324","23.5","44.1","14.7","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"","641
001","40","2.859","17.5","27.5","22.5","5.0","10.0","12.5","2.5","2.5",".",".",".",".",".",".",".","."
"","641
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Law","Course Total","42","2.871","16.7","28.6","21.4","4.8","9.5","11.9","2.4","2.4",".",".",".",".","2.4",".",".","."
"Soc-Occupations&Professions","643
001","17","3.500","47.1","17.6","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663
001","19","3.474","42.1","31.6","15.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
001","16","3.219","37.5","12.5","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".","."
"","681
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Honors Thesis","682
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","231","3.995","97.4","0.9",".",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","Page 305 of 410",""
