"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","278","3.260","27.3","22.3","33.5","9.4","6.5","0.7",".","0.4",".",".",".",".",".",".",".","."
"","131
001","21","2.976","19.0","14.3","42.9","9.5","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","131
002","86","2.535","5.8","10.5","32.6","22.1","16.3","8.1","4.7",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","107","2.603","8.4","11.2","34.6","19.6","15.0","6.5","4.7",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","134
001","219","3.468","42.0","32.0","16.0","4.1","4.1","0.5","1.4",".",".",".",".",".",".",".",".","."
"","140
001","12","3.167","33.3","8.3","41.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","140
002","12","2.917","16.7","41.7","8.3","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","Course Total","24","3.042","25.0","25.0","25.0","8.3","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","19","3.833","68.4","21.1","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","199
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
166","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","57","3.277","15.8","47.4","24.6","3.5","5.3",".","1.8",".",".",".",".",".",".","1.8",".","."
"Survey of Sociology","210
001","87","3.230","23.0","35.6","24.1","8.0","5.7","2.3","1.1",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","77","3.974","98.7",".",".",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","35","2.800","5.7","17.1","37.1","22.9","14.3",".","2.9",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","72","3.386","23.6","48.6","9.7","9.7","5.6",".",".",".",".",".",".",".",".","2.8",".","."
"Contemp Chinese Society","225
001","55","3.083","18.2","32.7","21.8","12.7","7.3","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","18","3.472","44.4","22.2","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","12","3.583","66.7","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","3.325","20.0","45.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","350
001","118","2.956","15.3","21.2","27.1","14.4","16.1","3.4",".","1.7",".",".",".",".","0.8",".",".","."
"","001
357","17","3.500","52.9","17.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","357
002","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","19","3.053","15.8","31.6","26.3",".","26.3",".",".",".",".",".",".",".",".",".",".","."
"","004
357","14","3.000","14.3","28.6","35.7",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","357
005","15","3.286","20.0","33.3","26.7","6.7","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"","357
006","17","3.147","17.6","17.6","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","007
357","16","3.406","31.3","31.3","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","357
008","18","3.306","27.8","22.2","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","357
009","17","3.206","29.4","23.5","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","144","3.269","27.8","27.1","26.4","8.3","9.0","0.7",".",".",".",".",".",".","0.7",".",".","."
"","360
001","24","3.229","25.0","33.3","16.7","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","002
360","31","3.048","22.6","25.8","19.4","9.7","19.4","3.2",".",".",".",".",".",".",".",".",".","."
"","360
003","29","3.586","62.1","20.7","6.9",".","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","84","3.286","36.9","26.2","14.3","7.1","13.1","2.4",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","001
361","12","3.125","41.7","8.3","25.0",".","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","33","3.531","51.5","18.2","15.2","6.1","6.1",".",".",".",".",".",".",".","3.0",".",".","."
"Mathematical Models-Social Sys","376
001","9","3.563","55.6",".","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Criminology","441
001","175","3.017","22.9","19.4","33.7","5.7","10.9","5.1","2.3",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446
001","45","3.252","31.1","24.4","20.0","11.1","13.3",".",".",".",".",".",".",".",".",".",".","."
"","475
002","21","3.048","33.3","14.3","19.0","4.8","23.8","4.8",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 304 of 409",""
