"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"642
Politcl Power-Contemp China","001","","32","3.406","28.1","37.5","25.0","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"660
African Politics","001","","37","3.343","40.5","24.3","16.2","2.7","2.7","8.1",".",".",".",".",".",".","5.4",".",".","."
"681
Senior Honors Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"684
Senior Honors Thesis Smr","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"692
Senior Thesis","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"695","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","002","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","003","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","004","","19","3.632","52.6","31.6","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","65","3.838","75.4","20.0","1.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"698","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","050","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","245","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","20","3.932","85.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"813
Stat Inference Pol Research","001","","16","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Empir Method Pol Inquiry: Qual","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
The Legislative Process","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Ancient Political Thought","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"835
Game Theory&Political Analysis","001","","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"837
Formal Models - Intl Relations","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"864
International Politicl Economy","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
Policy-Making Process","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Topics in Political Science","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
