"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills II: Communctn-OT","611
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills IV: Commun OT Prac","613
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Occupationl Participatn","621
001","26","3.800","69.2","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","3.8","."
"Infant&Chld Occs&Ther Intrvntn","622
001","26","3.620","46.2","26.9","23.1",".",".",".",".",".",".",".",".",".",".",".","3.8","."
"Mid&Late Adlt Occs&Thr Intervn","624
001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","25","3.917","88.0","4.0",".","4.0",".",".",".",".",".",".",".",".","4.0",".",".","."
"Level-I Fldwk: Mid&Late Adult","627
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level II Fieldwork A","662
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Inquiry OT II:Rsch Design","001
672","24","3.563","29.2","58.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry-OT IV: Sci Writing","674
001","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","252","3.797","73.4","19.4","4.4","1.2",".",".",".",".",".","0.4",".",".","0.4",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special","","3","4.000","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","66.7","."
"Graduate","","220","3.787","71.4","21.4","5.0","1.4",".",".",".",".",".","0.5",".",".","0.5",".",".","."
"","Dept. Total","252","3.797","73.4","19.4","4.4","1.2",".",".",".",".",".","0.4",".",".","0.4",".","0.8","."
