"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"650
Women&Leadershp-Med, Sci, Engr","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","9","3.933","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","186","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","214","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","216","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","219","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","232","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","250","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","95","3.946","88.4","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"701
Cell Signals and Human Disease","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","6","3.000",".",".","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"812","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","28","3.429","32.1","21.4","46.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","26","3.354","26.9","15.4","46.2","3.8",".",".",".",".",".",".",".",".",".",".","3.8","3.8"
"Prin Int Med-Basic Clrkship","Course Total","","61","3.373","26.2","16.4","50.8","1.6",".",".",".",".",".",".",".",".",".",".","3.3","1.6"
"903
MSTP Clin Clrkshp-Grad School","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
