"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542
001","84","3.589","48.8","28.6","15.5","6.0","1.2",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544
001","79","3.684","49.4","38.0","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Anesthesiology","547
001","79","3.576","53.2","16.5","25.3","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642
001","40","4.000","17.5",".",".",".",".",".",".","82.5",".",".",".",".",".",".",".","."
"","642
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","44","4.000","15.9",".",".",".",".",".",".","84.1",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","21","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","645
001","36","4.000","61.1",".",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","645
002","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","45","4.000","62.2",".",".",".",".",".",".","37.8",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","31","4.000","48.4",".",".",".",".",".",".","51.6",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","24","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"","675
001","16","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"","675
002","84","2.875","10.7","25.0","26.2","14.3","20.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"","004
675","48","4.000","81.3",".",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","675
010","50","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","198","3.052","26.3","10.6","11.1","6.1","8.6","1.0","0.5","35.9",".",".",".",".",".",".",".","."
"Special Species Health","676
001","84","3.369","26.2","38.1","23.8","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","18","3.909","77.8",".","5.6",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","30","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748
001","17","4.000","64.7",".",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
002","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
