"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102","001","198","3.484","38.4","29.3","17.7","5.1","2.5","0.5","0.5","6.1",".",".",".",".",".",".",".","."
"Intro-History of Africa","105","001","23","3.391","34.8","26.1","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","173","3.457","29.5","30.1","23.1","2.9","1.7","0.6",".","12.1",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","71","3.129","5.6","39.4","35.2","14.1","2.8","1.4",".",".",".",".",".",".",".",".","1.4","."
"British Hist: 1688-Present","124","001","138","3.459","36.2","39.1","14.5","2.9","2.9",".","2.2","2.2",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161","001","87","3.632","59.8","24.1","11.5","1.1","1.1",".","2.3",".",".",".",".",".",".",".",".","."
"Directed Study","199","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","200","001","12","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","200","003","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","200","004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","","Course Total","30","3.696","50.0","30.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","201","001","22","3.205","18.2","31.8","36.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"","201","002","25","3.040","28.0","24.0","24.0",".","16.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","201","003","17","3.529","41.2","35.3","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201","004","14","3.143","50.0","14.3","7.1","14.3",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"","201","005","38","3.361","34.2","28.9","18.4","2.6","7.9","2.6",".","5.3",".",".",".",".",".",".",".","."
"The Historian's Craft","","Course Total","116","3.259","32.8","27.6","21.6","4.3","6.9","3.4","1.7","1.7",".",".",".",".",".",".",".","."
"","221","001","39","3.471","20.5","46.2","20.5","2.6",".",".",".","7.7",".",".",".",".","2.6",".",".","."
"","221","003","36","3.569","47.2","30.6","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","","Course Total","75","3.521","33.3","38.7","18.7","1.3","2.7",".",".","4.0",".",".",".",".","1.3",".",".","."
"Exploration-European Hist (H)","223","001","25","3.688","56.0","28.0","4.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"History of Race and Ethnicity","227","001","69","3.201","4.3","49.3","31.9","10.1",".",".","1.4","1.4",".",".",".",".",".","1.4",".","."
"Transnational/Comp Hstry (Hum)","229","003","14","3.346","14.3","42.9","28.6","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246","001","42","3.817","71.4","21.4","2.4",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"History of American Capitalism","247","001","71","3.110","8.5","28.2","38.0","18.3","2.8",".",".","2.8",".",".",".",".",".",".","1.4","."
"Russia: An Interdis Survey","253","001","13","3.538","53.8","30.8",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","32","3.583","43.8","28.1","15.6","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","17","3.441","35.3","29.4","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","18","3.059","33.3","22.2","11.1","11.1","5.6","5.6","5.6",".",".",".",".",".","5.6",".",".","."
"Intermed Hon Smr-Study Hist(H)","283","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","13","3.545","30.8","38.5","7.7","7.7",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"The Renaissance","333","001","38","3.333","36.8","13.2","36.8","2.6","2.6",".","2.6",".",".",".",".",".","2.6","2.6",".","."
"The Caribbean & its Diasporas","347","001","33","3.234","21.2","42.4","21.2","3.0","3.0","3.0","3.0",".",".",".",".",".",".","3.0",".","."
"Seventeenth-Century Europe","351","001","50","3.353","24.0","38.0","30.0","4.0",".",".","2.0","2.0",".",".",".",".",".",".",".","."
"Modern Britain: 1485-1660","361","002","41","3.365","12.2","61.0","17.1","2.4",".",".","2.4","4.9",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","122","3.205","18.0","28.7","30.3","6.6","3.3","2.5","0.8","9.8",".",".",".",".",".",".",".","."
"United States 1914-1945","397","001","120","3.503","38.3","34.2","18.3","6.7","0.8","0.8",".",".",".",".",".",".",".","0.8",".","."
"The US Since 1945","398","001","153","3.449","37.9","31.4","20.9","4.6","1.3",".","2.0","2.0",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","74","3.604","39.2","44.6","14.9",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Am Labor Hist: 1900-Present","408","001","20","3.647","55.0","10.0","10.0","10.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"History-American Education","412","001","49","3.365","24.5","36.7","22.4","14.3",".",".",".","2.0",".",".",".",".",".",".",".","."
