"","990
233","2","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
234","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
238","1","***","","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","17","",".",".",".",".","",".","",".","",".","70.6",".",".",".","23.5","",".",".","5.9","."
"MEDICINE
632","Dept. Total","490","3.660","49.6","13.5","11.2","0.6","",".","",".","",".","22.2",".",".",".","0.8","",".",".","1.8","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","12","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","32","3.973","90.6","6.3",".",".","",".","",".","",".",".",".",".",".",".","",".",".","3.1","."
"Senior","","49","3.922","85.7",".","6.1",".","",".","",".","",".",".",".",".",".",".","",".",".","8.2","."
"Undergraduates","","93","3.948","89.2","2.2","3.2",".","",".","",".","",".",".",".",".",".",".","",".",".","5.4","."
"Special","","9","3.950","77.8","11.1",".",".","",".","",".","",".",".",".",".",".",".","",".",".","11.1","."
"Graduate","","18","4.000","11.1",".",".",".","",".","",".","",".","66.7",".",".",".","22.2","",".",".",".","."
"Prof Yr 1","","8","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","80","3.401","32.5","18.8","43.8","1.3","",".","",".","",".",".",".",".",".",".","",".",".","2.5","1.3"
"Prof Yr 4","","282","3.747","41.5","17.0","6.0","0.7","",".","",".","",".","34.4",".",".",".",".","",".",".","0.4","."
"Professionals","","370","3.594","40.8","17.0","14.1","0.8","",".","",".","",".","26.2",".",".",".",".","",".",".","0.8","0.3"
"","Dept. Total","490","3.660","49.6","13.5","11.2","0.6","",".","",".","",".","22.2",".",".",".","0.8","",".",".","1.8","0.2"
