"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","50","3.830","82.0","12.0","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","94","3.430","27.7","47.9","13.8","5.3","3.2",".","1.1","1.1",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","64","2.789","1.6","21.9","35.9","29.7","6.3","1.6","3.1",".",".",".",".",".",".",".",".","."
"","401
006","12","3.906","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","12","3.900","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","14","3.886","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
016","14","3.820","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
017","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","018
401","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","401
019","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","116","3.913","87.9","6.9","3.4","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Poverty and Social Welfare","420
001","20","3.275",".","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","11","3.800","72.7","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"","440
003","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","36","3.714","58.3","25.0","11.1","2.8",".",".",".",".",".",".",".",".","2.8",".",".","."
"","441
001","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","9","3.500","11.1","77.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","35","3.486","25.7","48.6","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
442","23","3.773","52.2","43.5",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"","442
003","27","3.750","48.1","48.1",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"Prac III: Generalist-Comm&Orgs","Course Total","79","3.838","65.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","2.5","."
"Alcohol & Other Drug Abuse","453
001","132","3.373","37.1","25.8","22.7","7.6","3.8","1.5","0.8","0.8",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","131","3.672","58.8","27.5","8.4","3.1","1.5",".","0.8",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","27","3.685","55.6","29.6","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","579
001","27","3.500",".","66.7",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"","579
002","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
003","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Special Topics in Social Work","Course Total","44","3.662","27.3","47.7","2.3",".",".",".",".",".",".",".",".","20.5","2.3",".",".","."
"Social Policy","606
001","40","3.550","27.5","55.0","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
640","52","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","18","3.639","27.8","72.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
640","18","3.778","72.2","22.2",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","103","3.777","62.1","33.0","3.9",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"","644
001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 300 of 409",""
