"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","6","3.556","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925
Gen Surg Clerk-Marshfield","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","041","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","042","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","043","","7","3.143",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","044","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surgery for the Non-Surgeon","Course Total","","25","3.520","36.0","32.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Surgery","Course Total","","4","***","","","","","","","","","","","","","","","",""
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","4","***","","","","","","","","","","","","","","","",""
"948","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Otolaryngology Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"949","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 385 of 409",""
