"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","90","3.258","35.6","18.9","28.9","3.3","8.9","1.1","2.2","1.1",".",".",".",".",".",".",".","."
"201
Speech Science","001","","71","2.838","9.9","22.5","31.0","21.1","7.0","5.6","2.8",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","91","3.330","46.2","19.8","13.2","8.8","7.7","2.2","2.2",".",".",".",".",".",".",".",".","."
"210
Speech & Lang Functs-Brain","001","","129","3.519","55.8","19.4","10.9","7.0","3.9","3.1",".",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","102","3.535","63.7","6.9","14.7","3.9","5.9","2.0","1.0","1.0",".",".",".",".","1.0",".",".","."
"318
Voice, Craniofac & Fluency Dis","001","","100","3.535","48.0","27.0","14.0","6.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"320
Introduction to Audiology","001","","114","3.605","55.3","18.4","21.1","4.4",".","0.9",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","40","3.475","17.5","60.0","22.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Auditory Rehabilitation","001","","108","3.676","60.2","21.3","15.7","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Lang&Cogntv-Com Dis in Adults","001","","34","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"705
Motor Speech Disord/Communictn","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Mgt&Assessmt-Voice Disorder","001","","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Lang Probs-Schl Age Chldrn","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Intro-Medical Speech Pathology","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Schl Mthd,Procedr:Sp/Lang Path","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Capstone: Com Dis in Adults","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"790","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","080","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","51","3.890","90.2","3.9","2.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"799","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","Page 187 of 409",""
