"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","19","3.632","57.9","15.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","25","3.542","48.0","20.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".","4.0"
"590","002","","24","3.849","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","49","3.764","61.2","18.4","12.2","6.1",".",".",".",".",".",".",".",".",".",".",".","2.0"
"601
Site Planning","001","","18","3.706","50.0","33.3","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"644
Internatnl Developmnt & Gender","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.750","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"720
Urban Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Central City Planning-Issue","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Energy Analysis Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Planning & the Legal System","001","","25","3.720","52.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"874
Policy-Making Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Smr-Land Probs:Institnl Dev","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Smr-Rsch Review & Criticism","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
