"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","475
003","22","3.136","40.9","4.5","27.3","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","004
475","16","2.900","18.8","12.5","18.8","31.3","6.3","6.3",".",".",".",".",".",".",".","6.3",".","."
"","475
005","36","3.601","50.0","22.2","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","95","3.258","38.9","14.7","23.2","10.5","8.4","2.1","1.1",".",".",".",".",".",".","1.1",".","."
"","496
001","26","3.373","34.6","38.5","7.7","11.5","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","003
496","15","3.769","73.3",".","6.7",".","6.7",".",".",".",".",".",".",".","13.3",".",".","."
"","496
007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
008","15","3.833","86.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","496
009","15","3.833","80.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","010
496","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
496","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","115","3.775","75.7","12.2","3.5","4.3","1.7","0.9",".",".",".",".",".",".","1.7",".",".","."
"Study Abroad in Sociology","497
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
003","26","3.525","34.6","42.3","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","532
004","28","3.375","25.0","46.4","21.4",".","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","54","3.448","29.6","44.4","20.4",".","3.7","1.9",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","8","2.643",".","12.5","25.0","25.0","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","21","3.381","33.3","28.6","33.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573
001","16","2.959","50.0",".","18.8",".","12.5","12.5","6.3",".",".",".",".",".",".",".",".","."
"Poverty and Place","578
001","18","3.207","22.2","27.8","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"Soc Structrs-Muslim Society","614
001","13","3.000",".","38.5","23.1","23.1","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"Gender, Society & Politics","623
001","11","3.545","63.6","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","001
624","18","2.028","22.2","5.6","5.6","11.1","11.1","27.8","16.7",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","22","3.364","36.4","22.7","22.7","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Social Stratification","001
633","31","3.347","25.8","38.7","19.4",".","6.5","3.2",".","3.2",".",".",".",".","3.2",".",".","."
"Sociology of Law","641
001","38","3.118","15.8","44.7","21.1","5.3","5.3","5.3","2.6",".",".",".",".",".",".",".",".","."
"","643
001","13","3.200","38.5","7.7","30.8","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"","643
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Occupations&Professions","Course Total","16","3.304","43.8","6.3","25.0","6.3","12.5",".",".","6.3",".",".",".",".",".",".",".","."
"Sociology of Education","648
001","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652
001","10","3.167",".","20.0","40.0",".",".",".",".","20.0",".",".",".",".","10.0","10.0",".","."
"Senior Honors Thesis","682
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
182","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699
015","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
699","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 305 of 409",""
