"","930
008","11","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","930
009","11","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"","930
010","12","4.000","100.0",".",".",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","50","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"ANESTHES
148","Dept. Total","169","3.592","49.1","25.4","20.1",".","",".","",".","",".","4.1","",".",".","",".","",".","",".",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","39","3.608","35.9","43.6","15.4",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","5.1","."
"Prof Yr 4","","127","3.566","52.0","20.5","22.0",".","",".","",".","",".","5.5","",".",".","",".","",".","",".",".",".","."
"Professionals","","166","3.578","48.2","25.9","20.5",".","",".","",".","",".","4.2","",".",".","",".","",".","",".",".","1.2","."
"","Dept. Total","169","3.592","49.1","25.4","20.1",".","",".","",".","",".","4.1","",".",".","",".","",".","",".",".","1.2","."
