"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140","001","","25","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"140","002","","25","3.300","28.0","44.0","16.0",".","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","Course Total","","50","3.300","24.0","42.0","18.0","10.0","2.0","4.0",".",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","32","3.266","15.6","37.5","34.4","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Gender & Work-Rural America","001","","28","2.893","17.9","25.0","32.1","3.6","7.1","10.7","3.6",".",".",".",".",".",".",".",".","."
"230
Ag&Soc Change-Western Hist","001","","65","3.414","33.8","26.2","27.7","9.2","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"248
Envir, Nat Resources & Society","001","","32","3.406","40.6","28.1","9.4","15.6","6.3",".",".",".",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","14","3.036","35.7","14.3","28.6","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"357","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","23","3.283","26.1","34.8","26.1","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"360","001","","10","3.200","30.0","30.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"360","002","","11","2.864","9.1","18.2","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".","."
"360","003","","9","3.111","33.3","22.2","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","30","3.050","23.3","23.3","23.3","13.3","10.0","6.7",".",".",".",".",".",".",".",".",".","."
"361
Stats for Sociologists II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375","001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","54","3.812","79.6","16.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","003","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","","10","3.556","20.0","60.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"540
Soc-Int'l Dev, Envir&Sustain","001","","26","3.769","57.7","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Ethics of Modern Biotechnology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","","","Page 42 of 409"
