"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Taxation II","840
001","","59","1.392","23.7",".","3.4",".","6.8","1.7",".","13.6",".",".",".",".",".",".",".","."
"Water Rights Law","845
001","","13","3.192","38.5","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Environmental Law","848
001","","10","2.200","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
001","","41","1.195","9.8",".","22.0",".","7.3",".",".",".",".",".",".",".",".",".",".","."
"","850
002","","20","1.500","15.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850
003","","25","1.208","16.0",".","12.0",".","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"","850
004","","28","1.000","10.7",".","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","114","1.204","12.3",".","19.3",".","6.1",".",".","0.9",".",".",".",".",".",".",".","."
"","852
001","","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"","852
002","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","852
003","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","66","",".",".",".",".",".",".",".","93.9",".",".",".",".",".",".",".","6.1"
"","854
001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
005","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","","22","4.000","4.5",".",".",".",".",".",".","68.2",".",".",".",".",".",".",".","27.3"
"","854
009","","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
011","","7","",".",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","28.6"
"","854
012","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
016","","19","",".",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","21.1"
"","854
017","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
018","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
020","","14","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
021","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
022","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
023","","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","33.3"
"Clinical Program","Course Total","","211","4.000","0.5",".",".",".",".",".",".","89.1",".",".",".",".",".",".",".","10.4"
"Advanced Criminal Procedure","860
001","","19","",".",".",".",".",".",".",".","84.2",".",".",".",".",".",".",".","15.8"
"Institutionalized Persons","862
001","","21","",".",".",".",".",".",".",".","76.2",".",".",".",".",".",".",".","23.8"
"International Tax","870
001","","15","1.267","6.7",".","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","","13","1.462","7.7",".","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
