"TERM : 1134","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2012-2013","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","",""
"","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"726","","","","","","","","","","","","","","","",""
"Safety & Quality-Med Use Sys","608
001
134","3.481","34.3","38.1","21.6","4.5",".","1.5",".",".",".",".",".",".",".",".   
.   
."
"Pharmacist Services Management","631
001
15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".   
.   
."
"Substnc Abuse&Chem Dependnc","640
001
67","3.828","70.1","25.4","4.5",".",".",".",".",".",".",".",".",".",".",".   
.   
."
"726","216
Dept. Total","3.579","46.8","34.7","14.8","2.8",".","0.9",".",".",".",".",".",".","",".  
.  
.  
."
"July 22, 2013","","","","","","","","","","","","","","","","Page 396 of 409"
"* Please note: This report does not combine crosslisted courses","","","","","","","","","","","","","","","",""
"*** Please note: In order to protect student privacy, grade distributions for classes or class sections with fewer than five students have been redacted.","","","","","","","","","","","","","","","",""
