"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","24","2.771","20.8","8.3","29.2","12.5","20.8","4.2","4.2",".",".",".",".",".",".",".",".","."
"Pharm Practice Experience II","426
001","135","3.922","85.9","12.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
003","36","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","52","3.926","90.4","3.8","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526
056","126","3.964","94.4","4.0","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","127","3.214","10.2","43.3","27.6","15.0","3.1",".",".",".",".",".",".",".",".",".","0.8","."
"Drug Literature Evaluation","570
001","129","3.570","38.0","48.1","9.3","2.3","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626
056","132","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","76","3.320","23.7","23.7","25.0","6.6","5.3",".",".","15.8",".",".",".",".",".",".",".","."
"","002
650","92","3.340","27.2","18.5","28.3","2.2","4.3",".","1.1","18.5",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn","Course Total","168","3.331","25.6","20.8","26.8","4.2","4.8",".","0.6","17.3",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","001
656","134","3.038","11.9","31.3","26.9","19.4","5.2",".","3.0","0.7",".",".",".",".",".",".","1.5","."
"Med Mgt in Amb/Prim Care","658
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","22","3.986","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet Supplmnt","672
001","6","3.900","66.7","16.7",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674
001","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Advanced Diabetes Management","679
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","28","3.702","85.7","3.6","3.6",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","710
001","27","3.740","44.4","48.1",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","740
005","23","3.739","65.2","26.1","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","106
740","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","38","3.829","76.3","18.4","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","005
741","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
741","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","43","3.907","83.7","14.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 22, 2013","","","","","","","","","","","","","","","","","","Page 397 of 409",""
