"TERM : 1134","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2012-2013","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M
724","Dept. Total","120","3.899","60.0","7.5","4.2",".","",".","",".","",".","18.3","0.8",".","",".","5.8","",".",".","3.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Senior","","10","3.885","90.0",".","10.0",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","13","3.906","92.3",".","7.7",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Graduate","","101","3.887","54.5","8.9","4.0",".","",".","",".","",".","20.8","1.0",".","",".","6.9","",".",".","4.0","."
"Prof Yr 1","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","5","4.000","80.0",".",".",".","",".","",".","",".","20.0",".",".","",".",".","",".",".",".","."
"Professionals","","6","4.000","83.3",".",".",".","",".","",".","",".","16.7",".",".","",".",".","",".",".",".","."
"","Dept. Total","120","3.899","60.0","7.5","4.2",".","",".","",".","",".","18.3","0.8",".","",".","5.8","",".",".","3.3","."
