"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","812
001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
812","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
812","","14","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
812","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","12","3.273","16.7","16.7","58.3",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","812
006","","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
812","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
008","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","10","3.300",".","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
010","","6","3.500","16.7","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","812
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","96","3.420","18.8","44.8","34.4",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
919","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","17","3.900","52.9",".","5.9",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","920
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","930
005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
008","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
009","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
010","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
