"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","103","2.887","20.4","10.7","32.0","5.8","27.2","1.9","1.0","1.0",".",".",".",".",".",".",".","."
"","100","002","95","2.654","15.8","6.3","25.3","9.5","36.8","4.2","1.1","1.1",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","198","2.776","18.2","8.6","28.8","7.6","31.8","3.0","1.0","1.0",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","107","2.905","14.0","13.1","44.9","3.7","18.7","1.9","1.9","1.9",".",".",".",".",".",".",".","."
"","104","001","333","3.286","25.5","26.1","30.9","15.3","1.5",".","0.3",".",".",".",".",".",".",".","0.3","."
"","104","002","360","3.307","27.5","30.0","26.9","12.5","1.4","0.8","0.8",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","693","3.297","26.6","28.1","28.9","13.9","1.4","0.4","0.6",".",".",".",".",".",".",".","0.1","."
"Principles - Biological Anthro","105","001","243","3.301","38.7","21.8","16.9","11.9","6.2","0.8","2.1","0.8","0.4",".",".",".",".",".",".","0.4"
"Principles of Archaeology","112","001","112","2.777","19.6","8.0","26.8","10.7","27.7","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","13","2.923","30.8","7.7","30.8","7.7","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","21","3.190","28.6","28.6","19.0","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","19","2.763","26.3","5.3","15.8","21.1","26.3",".","5.3",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","10","2.100",".",".","50.0",".","20.0","20.0","10.0",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","27","3.250","37.0","22.2","7.4","11.1","18.5",".",".","3.7",".",".",".",".",".",".",".","."
"Indians of North America","314","001","62","3.025","27.4","22.6","11.3","17.7","14.5","1.6","3.2","1.6",".",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","62","3.194","35.5","6.5","40.3","3.2","11.3","3.2",".",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","19","3.540","57.9","5.3","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prehistory of Africa","333","001","21","3.405","57.1","4.8","23.8",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","27","3.599","40.7","37.0","7.4","7.4",".",".",".","7.4",".",".",".",".",".",".",".","."
"Medical Anthropology","365","001","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Course in Archaeology","370","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yucatec Maya","377","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","14","2.643","14.3",".","21.4","28.6","35.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","35","2.671","11.4","11.4","28.6","8.6","34.3","5.7",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","26","3.280","19.2","46.2","23.1",".","3.8",".","3.8","3.8",".",".",".",".",".",".",".","."
"Anthropology of Law","448","001","28","3.321","17.9","39.3","35.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","002","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","19","3.778","63.2","21.1","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","078","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","942","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","942","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Archaeological Problems","","Course Total","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
