"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","196","3.235","25.5","30.6","18.9","16.3","8.2","0.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","59","3.627","44.1","40.7","11.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615
001","45","3.678","57.8","24.4","13.3","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","12","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
031","33","3.803","60.6","39.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
017","6","3.833","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci, Risk Mgmt & Ins I","920
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","379","3.446","39.6","30.1","14.5","10.0","4.2","0.3",".","0.5",".",".",".","0.8",".",".",".","."
