"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","146","3.818","77.4","17.1","2.7","1.4",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"","302
001","122","3.984","97.5","1.6","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","139","3.975","97.1","1.4","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","50","3.870","76.0","22.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","70","3.871","75.7","22.9","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","001
312","144","3.573","31.9","56.9","9.0","0.7","0.7",".","0.7",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319
001","143","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Community Health Nursing","322
001","52","3.808","63.5","34.6","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332
001","144","3.753","63.2","29.2","4.2","2.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"","401
001","128","3.801","69.5","21.1","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","148","3.811","70.9","20.3","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","128","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","148","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","60","3.900","85.0","11.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","67","3.939","91.0","3.0","4.5",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","449
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","87","3.953","93.1","2.3","3.4",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Primary Health Care-School","470
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
005","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopharmacololgy for APNs","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Relaxation Strategies: Tools","660
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","682
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","18","3.981","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
