"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","",""
"","699
021","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
072","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"Integrated Hematology System","703
001","172","3.349","28.5","22.1","40.7","8.1","0.6",".","",".",".",".",".",".","",".","",".","",".",".","."
"Integ Gastro & Hepatic Systms","707
001","173","3.379","30.6","23.7","35.3","6.9","1.7",".","",".",".",".",".",".","",".","",".","",".",".","1.7"
"Endocrinology&Reproductive Hth","711
001","174","3.333","31.0","18.4","41.4","6.9","1.7",".","","0.6",".",".",".",".","",".","",".","",".",".","."
"Integrated Dermatology","724
001","172","",".",".",".",".",".",".","",".","97.7","0.6",".",".","",".","",".","",".",".","1.7"
"Integrated Musculoskeletal Sys","728
001","172","3.424","31.4","23.3","44.2","1.2",".",".","",".",".",".",".",".","",".","",".","",".",".","."
"Integrated Neurosciences","729
001","169","3.506","45.6","17.8","29.0","7.7",".",".","",".",".",".",".",".","",".","",".","",".",".","."
"Anatomy of the Head and Neck","731
001","172","",".",".",".",".",".",".","",".","97.7",".",".",".","",".","",".","",".",".","2.3"
"Med Spanish for Hlth Sci Stdts","735
001","39","",".",".",".",".",".",".","",".",".",".","100.0",".","",".","",".","",".",".","."
"Overview of Rural Health","740
001","29","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".","",".",".","."
"Foundations of Medicine 3","757
001","171","3.412","28.1","28.7","40.9","2.3",".",".","",".",".",".",".",".","",".","",".","",".",".","."
"Foundations of Medicine 4","759
001","171","3.365","28.7","21.1","46.2","2.9","1.2",".","",".",".",".",".",".","",".","",".","",".",".","."
"Patient, Doctor & Society 2","801
001","172","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".","",".",".","."
"Patient, Doctor & Society 4","807
001","169","3.828","68.0","29.6","2.4",".",".",".","",".",".",".",".",".","",".","",".","",".",".","."
"MED SC-M
622","Dept. Total","1958","3.459","25.6","16.1","24.6","3.2","0.5","",".","0.1","27.4","0.1","2.0","",".","",".","",".",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","11","4.000","9.1",".",".",".",".","",".",".","9.1",".","81.8","",".","",".","",".",".",".","."
"Undergraduates","","11","4.000","9.1",".",".",".",".","",".",".","9.1",".","81.8","",".","",".","",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".","",".",".","50.0",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","557","",".",".",".",".",".","",".",".","95.3","0.2","3.2","",".","",".","",".",".",".","1.3"
"Prof Yr 2","","1361","3.460","36.1","22.9","35.0","4.3","0.5","",".","0.1","0.3",".","0.7","",".","",".","",".",".",".","0.1"
"Prof Yr 3","","24","3.310","29.2","20.8","20.8","12.5","8.3","",".",".",".",".","4.2","",".","",".","",".",".",".","4.2"
"Prof Yr 4","","2","",".",".",".",".",".","",".",".",".",".","100.0","",".","",".","",".",".",".","."
"Professionals","","1944","3.458","25.7","16.3","24.7","3.2","0.5","",".","0.1","27.5","0.1","1.5","",".","",".","",".",".",".","0.5"
"","Dept. Total","1958","3.459","25.6","16.1","24.6","3.2","0.5","",".","0.1","27.4","0.1","2.0","",".","",".","",".",".",".","0.5"
