"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"698","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"727","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","36","3.958","94.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Found of Teach&Learn in Nursng","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"787
Nursing Education Practicum","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"802
Ethics & Conduct of Research","001","","19","3.861","68.4","26.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"804
Adv Rsch Design & Methods II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"806
Eval & App Evidence-Based Prac","001","","36","3.625","47.2","30.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Proseminar in Nursing Research","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"829","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"829","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"906
Scholarly Project","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
