"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".   
.",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"414
Soc Behav Aspects","001","","127","3.841","74.8","18.1","5.5","0.8",".",".",".","0.8
.",".",".",".",".",".",".","."
"514
Pharmacy Management","001","","135","3.889","78.5","20.7","0.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"611
Pharmacy Law and Regulation","001","","134","3.765","67.9","17.9","13.4","0.7",".",".",".",".   
.",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","140","3.964","93.6","5.7","0.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","065","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","093","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","094","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"715
Soc Behav Theories in Pharm","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"911
Research Seminar in SAS","001","","7","4.000","85.7",".",".",".",".",".",".",".   
14.3",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","093","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"999","025","","6","4.000","83.3",".",".",".",".",".",".",".   
16.7",".",".",".",".",".",".","."
"999","079","","5","***","","","","","","","","",".",".",".",".",".",".","."
"999","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".  
8.3",".",".",".",".",".",".","."
