"","769
072","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
028","9","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","2498","3.817","57.3","13.0","4.7","1.2","0.2","0.0","",".","0.2",".","19.6","",".","",".","3.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD","U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Senior","","7","4.000","14.3",".",".",".",".",".","",".",".",".","85.7","",".","",".",".",".",".","."
"Undergraduates","","9","4.000","33.3",".",".",".",".",".","",".",".",".","66.7","",".","",".",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","29","4.000","79.3",".",".",".",".",".","",".",".",".","20.7","",".","",".",".",".",".","."
"Prof Yr 1","","360","3.992","32.8","0.6",".",".",".",".","",".","0.3",".","40.0","",".","",".","26.4",".",".","."
"Prof Yr 2","","884","3.661","48.0","20.5","7.7","1.6","0.3","0.1","",".","0.3",".","21.5","",".","",".",".",".",".","."
"Prof Yr 3","","792","3.806","62.2","13.3","4.9","1.4","0.1",".","",".",".",".","18.1","",".","",".",".",".",".","."
"Prof Yr 4","","420","3.904","87.4","8.6","2.4","1.4","0.2",".","",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","2456","3.815","57.1","13.2","4.8","1.3","0.2","0.0","",".","0.2",".","19.4","",".","",".","3.9",".",".","."
"","Dept. Total","2498","3.817","57.3","13.0","4.7","1.2","0.2","0.0","",".","0.2",".","19.6","",".","",".","3.8",".",".","."
