"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"REHABILITATION MEDICINE","Section","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","041","","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","041","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Med Clinical Elective","Course Total","","9","4.000","22.2","",".","",".",".","",".","",".","",".","77.8
.",".",".",".",".",".",".","."
