"920","004
2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","005
3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"920","041
1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Med Clinical Elective","Course Total
9","4.000","22.2","",".","",".",".","",".","",".","",".","77.8",".",".",".",".",".",".",".","."
"RHAB MED
840","13
Dept. Total","4.000","38.5","",".","",".",".","",".","",".","",".","61.5",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","","B","","BC","C","","D","","F","","S/SD","U/UD","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","8","4.000","25.0","",".","",".",".","",".","",".","",".","75.0",".",".",".",".",".",".",".","."
"Professionals","10","4.000","20.0","",".","",".",".","",".","",".","",".","80.0",".",".",".",".",".",".",".","."
"","Dept. Total
13","4.000","38.5","",".","",".",".","",".","",".","",".","61.5",".",".",".",".",".",".",".","."
