"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMERGENCY MEDICINE","","Section
#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S/SD U/UD","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","EMER MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","EMER MED","89
Dept. Total","4.000","","3.4","",".","",".","",".","",".","",".","",".","96.6",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"330","EMER MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Senior","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
