"MEDICAL HISTORY AND BIOETHI Section","","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD U/UD","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glbl Envir Hlth:Interdis Intro","213
001","123","3.938","87.8","8.9","1.6",".","","",".","",".","",".","1.6",".",".",".","",".","",".","",".",".","."
"Science, Medicine&Religion","331
001","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Health, Disease&Healing II","508
001","20","3.895","75.0","20.0",".",".","","",".","",".","",".","5.0",".",".",".","",".","",".","",".",".","."
"Race, Amer Med & Pub Health","523
001","14","3.846","64.3","28.6",".",".","","",".","",".","",".","7.1",".",".",".","",".","",".","",".",".","."
"Health and the Humanities","525
001","11","4.000","100.0",".",".",".","","",".","",".","",".",".",".",".",".","",".","",".","",".",".","."
"Ethical Issues in Health Care","558
001","52","3.853","73.1","21.2","3.8",".","","",".","",".","",".","1.9",".",".",".","",".","",".","",".",".","."
"Topics-Ethics & Hist of Med","559
001","17","3.781","58.8","29.4","5.9",".","","",".","",".","",".",".","5.9",".",".","",".","",".","",".",".","."
"Health, Disease and Healing II","708
001","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Topics in Bioethics","730
001","8","",".",".",".",".","","",".","",".","",".","100.0",".",".",".","",".","",".","",".",".","."
"Migration and Global Health","750
011","5","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
452","Dept. Total","256","3.900","76.2","13.7","2.3","",".","",".","",".","",".","7.4","0.4",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","13","3.917","84.6",".","7.7","",".","",".","",".","",".","7.7",".",".","",".","",".","",".",".",".","."
"Junior","","87","3.895","81.6","13.8","3.4","",".","",".","",".","",".",".","1.1",".","",".","",".","",".",".",".","."
"Senior","","133","3.900","79.7","16.5","1.5","",".","",".","",".","",".","2.3",".",".","",".","",".","",".",".",".","."
"Undergraduates","","235","3.900","80.9","14.5","2.6","",".","",".","",".","",".","1.7","0.4",".","",".","",".","",".",".",".","."
"Special","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","5","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","","7","",".",".",".","",".","",".","",".","",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","4","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","14","3.500",".","7.1",".","",".","",".","",".","",".","92.9",".",".","",".","",".","",".",".",".","."
"","Dept. Total","256","3.900","76.2","13.7","2.3","",".","",".","",".","",".","7.4","0.4",".","",".","",".","",".",".",".","."
