"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"760","215","","1","***","","","","","","","","",".",".",".",".",".",".","."
"760","280","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","143","3.868","84.6","7.7","4.9","2.1","0.7",".",".",".  
.",".",".",".",".",".",".","."
"769","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"769","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","2","***","","","","","","","","","","","","","","",""
"962
Grad Sem Hlth-System Pharmacy","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"999
Advanced Independent Study","028","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","","2498","3.817","57.3","13.0","4.7","1.2","0.2","0.0",".","0.2
.","19.6",".",".","3.8",".",".","."
