"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","83","3.719","61.4","21.7","8.4","3.6","1.2",".",".","3.6",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","98","3.625","43.9","35.7","9.2","4.1","1.0",".",".","5.1","1.0",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","66","3.527","30.3","31.8","19.7","3.0",".",".",".","12.1","3.0",".",".",".",".",".",".","."
"","401
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","13","3.918","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","12","3.951","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","401
012","13","4.000","92.3",".",".",".",".",".",".",".","7.7",".",".",".",".",".",".","."
"","401
013","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
103","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","401
201","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","119","3.968","92.4","4.2","0.8",".",".",".",".",".","0.8",".",".",".","0.8",".","0.8","."
"","442
010","33","3.906","78.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"","442
020","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","39","3.921","82.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"Alcohol & Other Drug Abuse","453
001","87","3.776","67.8","23.0","4.6",".","1.1","1.1",".","2.3",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","52","3.865","76.9","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","37","3.662","51.4","32.4","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","22","3.425","18.2","54.5","9.1","4.5","4.5",".",".","4.5","4.5",".",".",".",".",".",".","."
"","612
003","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
004","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","88","3.849","76.1","17.0","2.3","1.1","1.1",".",".","1.1","1.1",".",".",".",".",".",".","."
"GLBT Issues and Social Welfare","639
001","16","3.946","81.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","644
001","28","3.704","60.7","28.6","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","644
030","32","3.816","71.9","21.9",".","3.1",".",".",".","3.1",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","Course Total","60","3.759","66.7","25.0","3.3","3.3",".",".",".","1.7",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","23","3.814","82.6","13.0",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"End-of-Life Pract. Challenges","648
001","22","3.896","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","42","3.474","33.3","31.0","19.0","2.4","4.8",".",".","4.8","4.8",".",".",".",".",".",".","."
"","656
001","25","3.943","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","656
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","28","3.948","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
002","25","3.734","56.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","674
003","20","3.613","40.0","50.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","Course Total","45","3.679","48.9","42.2","6.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","679
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 326 of 447",""
