"ECONOMICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"","702","001","54","3.576","25.9","51.9","1.9","5.6",".",".",".","14.8",".",".",".",".",".",".",".","."
"","702","002","96","3.661","47.9","22.9","14.6","1.0","1.0",".",".","10.4","2.1",".",".",".",".",".",".","."
"Macroeconomics I","","Course Total","150","3.631","40.0","33.3","10.0","2.7","0.7",".",".","12.0","1.3",".",".",".",".",".",".","."
"Econometrics I","704","001","54","3.606","37.0","42.6","16.7",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Econometrics II","705","001","105","3.602","36.2","34.3","12.4",".",".",".","1.0","16.2",".",".",".",".",".",".",".","."
"","708","001","67","3.828","62.7","19.4","3.0","1.5",".",".",".","13.4",".",".",".",".",".",".",".","."
"","708","002","38","3.765","60.5","15.8","13.2",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Microeconomics II","","Course Total","105","3.804","61.9","18.1","6.7","1.0",".",".",".","12.4",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","43","3.525","32.6","32.6","27.9",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","713","001","38","3.431","28.9","31.6","26.3","7.9",".",".",".","5.3",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","714","001","26","3.519","38.5","26.9","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","16","3.900","75.0","18.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Int'l Financial Econ","730","001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Monetary & Financial Theory","735","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Microecon Theory","809","001","8","3.900","50.0","12.5",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Adv Macroeconomic Theory","810","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv International Economics","872","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intdept Smr-African Studies","983","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","5","***","","","","","","","","","","","","","","","",""
