"TERM : 1204","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2019-2020","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"ENTOMOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","F","","S/SD U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"ENTOM
355","Dept. Total","292","3.710","53.8","22.3","7.9","0.3","",".","0.7","",".","12.0
.",".","",".","3.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S/SD
U/UD","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.500",".","75.0",".",".","",".",".","",".","25.0
.",".","",".",".","",".",".",".","."
"Sophomore","","41","3.672","41.5","43.9","7.3",".","",".",".","",".","7.3
.",".","",".",".","",".",".",".","."
"Junior","","91","3.669","54.9","27.5","11.0","1.1","",".","1.1","",".","4.4
.",".","",".",".","",".",".",".","."
"Senior","","85","3.714","60.0","16.5","11.8",".","",".","1.2","",".","10.6
.",".","",".",".","",".",".",".","."
"Undergraduates","","225","3.681","52.4","28.0","10.2","0.4","",".","0.9","",".","8.0
.",".","",".",".","",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","63","3.971","60.3","3.2",".",".","",".",".","",".","22.2
.",".","",".","14.3","",".",".",".","."
"","Dept. Total","292","3.710","53.8","22.3","7.9","0.3","",".","0.7","",".","12.0
.",".","",".","3.1","",".",".",".","."
