"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","",""
"699","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","006","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","013","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","014","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Neurosurg-Directed Study","Course Total","","42","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"921","013","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Inpatient Neuro ICU Elective","Course Total","","3","***","","","","","","","","","","","","","","",""
