"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","",""
"910","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"910","101","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch Radiology","Course Total","","5","***","","","","","","","","","","","","","","",""
"914","005","","22","4.000","4.5",".",".",".",".",".",".","95.5
.",".",".",".",".",".",".","."
"914","008","","23","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Physician Financial Wellness","Course Total","","45","4.000","2.2",".",".",".",".",".",".","97.8
.",".",".",".",".",".",".","."
"920","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"920","002","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"920","004","","12","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"920","005","","11","4.000","9.1",".",".",".",".",".",".","90.9
.",".",".",".",".",".",".","."
"920","006","","18","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"920","007","","20","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"920","008","","21","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"920","011","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Diagnostic Radiol Elective","Course Total","","101","4.000","1.0",".",".",".",".",".",".","99.0
.",".",".",".",".",".",".","."
"923
Clinical Nuclear Med Elective","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"924
General Radiology Elective","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"926","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"926","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Interventional Radiology","Course Total","","2","***","","","","","","","","","","","","","","",""
