"COMMUNICATION SCI & DISORD Section","","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","214","3.944","93.0","5.1","0.5","0.5",".",".","0.5","0.5",".",".",".",".",".",".",".","."
"Speech Science","201","001","73","3.659","54.8","16.4","8.2","4.1","1.4","1.4",".","12.3",".",".",".",".","1.4",".",".","."
"Normal Aspects of Hearing","202","001","101","3.828","75.2","10.9","7.9",".",".","1.0",".","4.0","1.0",".",".",".",".",".",".","."
"Neural Base Comm","210","001","212","3.832","72.6","17.9","5.2","0.5",".","0.5",".","3.3",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","81","3.889","87.7","9.9","1.2",".",".",".","1.2",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","84","3.952","91.7","7.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","93","3.598","43.0","38.7","16.1",".",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","59","3.980","94.9","3.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","38","3.905","78.9","18.4",".",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","40","3.816","62.5","30.0","2.5",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"School Methods in Lang Dis","709","001","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis","752","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","790","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","56","3.955","96.4",".",".","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
