"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","",""
"915","045","","149","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"Clinical Therapeutics","Course Total","","284","",".",".",".",".",".",".",".","99.6
0.4",".",".",".",".",".",".","."
"916","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"916","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"916","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"916","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"916","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"916","011","","2","***","","","","","","","","",".",".",".",".",".",".","."
"916","012","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care Elective","Course Total","","15","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"917
Smoking Cessation","003","","5","***","","","","","","","","",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","008","","24","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","002","","6","4.000","33.3",".",".",".",".",".",".","66.7
.",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","005","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Indiv Phase3 Clinical Medicine","Course Total","","20","4.000","10.0",".",".",".",".",".",".","90.0
.",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Elec-Stdt Hlth","Course Total","","3","***","","","","","","","","","","","","","","",""
"933","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"933","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Elective","Course Total","","2","***","","","","","","","","","","","","","","",""
"935","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"935","002","","2","***","","","","","","","","",".",".",".",".",".",".","."
"935","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"935","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"935","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Hematology/Oncology Elective","Course Total","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"938","041","","3","***","","","","","","","","",".",".",".",".",".",".","."
"938","042","","8","4.000","37.5",".",".",".",".",".",".","62.5
.",".",".",".",".",".",".","."
"938","043","","15","1.750",".","6.7",".",".",".",".","6.7","80.0
.",".",".",".","6.7",".",".","."
"938","046","","13","",".",".",".",".",".",".",".","92.3
.",".",".",".","7.7",".",".","."
"Inpt Acting Internship - Med","Course Total","","39","3.438","7.7","2.6",".",".",".",".","2.6","82.1
.",".",".",".","5.1",".",".","."
"940","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"940","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"940","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
